nro_residentes,tipo_vivienda,pago_mensual
6,1,1386
4,3,1602
5,3,2447
3,3,1282
6,2,1210
5,2,735
4,1,438
6,1,1099
3,1,349
5,3,331
3,7,375
3,1,491
1,5,400
1,3,265
3,7,285
1,7,400
4,7,423
3,5,743
2,3,323
4,2,203
4,7,265
6,7,280
1,3,183
6,1,328
6,1,765
4,7,266
7,1,528
5,1,758
2,1,211
5,1,378
5,1,409
1,3,375
2,1,552
4,3,303
7,1,877
8,6,193
1,1,624
2,7,464
6,1,1322
4,1,440
3,1,715
4,1,600
6,2,499
1,1,715
4,3,479
5,2,610
3,1,330
4,1,591
4,1,678
6,5,330
6,1,1089
6,1,553
6,5,298
6,1,510
5,1,385
4,1,150
3,1,155
2,7,263
11,1,249
6,1,165
4,1,258
5,3,330
3,1,355
5,3,225
5,1,425
6,7,424
2,1,244
1,2,795
3,3,274
6,3,1792
3,1,1609
5,1,1907
1,3,170
3,3,270
3,1,1125
3,1,1321
3,1,1180
3,3,370
1,3,244
4,1,412
6,1,497
1,3,433
5,2,2190
1,3,359
4,1,1382
3,3,375
3,3,558
4,2,893
2,5,870
1,3,383
4,3,425
4,3,299
4,1,581
3,5,480
3,1,747
5,1,270
5,2,1223
3,2,361
5,1,417
1,3,400
2,1,1630
1,3,2295
4,7,645
6,1,415
2,1,254
5,1,445
1,7,339
6,3,885
3,2,512
2,1,472
3,4,125
3,3,470
6,7,262
4,1,1289
5,1,693
2,1,1622
11,7,1915
4,3,274
4,3,246
2,2,1065
5,3,673
7,2,1132
6,1,310
7,1,475
1,3,172
5,5,625
7,1,533
7,1,1065
6,1,928
2,3,203
5,1,361
3,7,283
5,1,372
2,1,288
8,3,623
5,1,510
5,1,531
4,1,433
1,7,205
4,1,903
3,1,434
9,1,443
2,3,400
4,2,1152
6,2,976
3,3,1110
2,5,605
3,5,1630
4,5,1671
5,5,560
4,3,355
3,1,1682
6,3,383
3,7,559
2,3,493
7,1,261
6,1,585
5,1,354
3,1,460
3,1,465
4,1,435
3,1,359
5,1,450
4,3,1010
2,1,590
5,5,1655
3,1,1326
4,1,1895
3,1,503
2,1,3228
4,1,726
2,1,578
4,7,388
4,7,480
1,7,365
5,7,799
5,7,702
4,1,1175
6,2,1075
2,5,648
3,1,1607
2,3,579
3,1,1919
2,1,2090
3,3,1940
3,3,463
3,1,358
5,1,319
4,7,485
5,3,310
4,1,325
3,1,412
3,3,319
4,1,942
4,1,690
4,7,725
4,7,1105
6,3,1420
4,1,1427
3,6,2705
4,3,525
2,3,395
5,1,1395
2,3,425
3,7,1670
2,3,403
2,2,494
4,7,306
5,2,1170
3,3,425
6,3,465
3,5,1710
5,1,1135
1,1,1005
7,1,792
3,3,1105
2,1,1619
6,3,385
2,3,431
4,1,1170
7,1,515
4,2,1365
5,3,314
3,7,580
1,3,323
3,3,295
4,3,382
5,1,1590
2,7,339
4,7,260
1,1,263
2,3,310
5,1,842
5,1,875
6,1,495
5,2,420
4,1,1687
6,1,388
3,2,405
1,3,299
4,7,455
8,1,1223
6,7,455
2,1,553
3,7,389
4,1,603
4,1,1075
7,1,610
8,1,1188
6,1,770
4,1,445
5,1,503
1,7,1054
2,7,462
5,7,803
3,1,1653
4,1,2135
1,1,367
4,1,470
1,1,870
5,1,1815
1,1,1710
2,7,425
5,1,1273
1,1,359
6,3,395
3,1,438
3,3,324
3,7,735
4,2,642
1,3,524
3,7,590
1,2,965
3,7,1130
1,1,775
5,3,1395
5,1,730
4,2,2150
4,2,1735
3,7,372
3,5,480
4,1,530
5,1,2265
3,3,2152
2,1,1570
3,3,754
3,1,1067
4,1,2278
1,7,1117
3,3,1405
2,1,1166
2,1,1494
4,1,1698
1,3,320
5,1,12107
4,3,506
2,7,545
4,5,1318
2,1,487
2,1,1258
4,6,368
2,5,870
1,3,455
1,7,594
1,5,417
2,6,255
1,3,474
2,1,3200
3,3,2195
3,1,492
2,1,914
5,1,1790
1,1,1622
4,1,2218
2,2,2308
3,7,507
1,3,280
3,1,1202
4,2,2322
2,1,612
1,7,599
3,2,3810
1,3,664
4,1,2260
3,1,2225
4,1,960
3,3,619
4,3,973
3,1,1890
2,5,1373
1,1,1529
1,3,400
5,7,1705
3,6,994
2,1,1230
1,3,409
1,1,1173
1,5,610
4,5,1210
3,3,925
1,7,390
2,3,673
2,3,864
2,1,873
6,1,1369
2,3,604
2,3,624
4,1,1405
1,3,335
1,7,554
2,1,908
2,1,1135
2,3,750
4,1,1996
2,3,425
3,1,1197
4,5,2259
5,5,1800
2,5,1593
4,1,820
2,1,2045
3,1,1884
2,3,465
6,3,1725
4,3,1655
2,1,1415
4,7,1170
1,3,1670
3,1,1622
1,1,1590
4,7,1023
6,3,1203
4,1,788
4,3,704
6,5,2045
4,1,1020
2,3,291
2,1,1395
1,3,425
1,1,394
1,1,442
3,1,555
3,3,1304
6,3,796
7,5,964
1,3,352
3,3,325
2,1,451
2,1,450
1,7,484
2,1,2093
3,1,1689
1,3,308
1,5,433
4,1,1185
1,3,473
2,3,494
4,1,1340
4,1,400
1,3,415
8,1,3300
2,2,1890
5,5,990
3,5,770
3,7,1208
3,1,1218
1,1,1611
4,1,1139
1,1,598
7,1,2220
4,1,462
7,1,645
5,1,645
5,1,547
2,3,500
1,7,582
5,1,778
4,1,1173
5,1,615
10,1,250
9,2,1040
4,3,2260
1,1,203
3,7,197
5,3,202
5,7,335
1,3,155
4,7,304
5,1,945
7,1,1000
1,7,150
2,1,1110
4,3,285
1,6,125
4,5,548
1,3,225
3,1,565
4,3,347
1,7,137
2,1,325
2,1,440
2,1,344
4,1,507
3,3,169
3,3,145
5,1,530
6,7,112
6,7,125
2,1,338
4,7,246
7,1,299
2,1,447
7,1,158
7,2,252
2,1,138
5,6,122
1,1,147
5,1,445
2,1,148
4,1,116
3,1,118
1,1,541
1,3,66
3,7,177
2,1,229
4,1,153
1,1,173
3,3,138
1,3,275
1,3,139
3,3,583
1,3,408
4,3,423
1,7,631
4,6,719
1,1,585
1,3,968
2,1,238
2,3,782
5,1,471
2,7,325
4,1,1023
6,1,658
1,3,270
4,1,565
6,3,330
4,1,567
3,1,260
5,1,263
1,3,153
1,1,141
5,7,242
3,7,247
7,1,990
5,1,1143
1,7,282
4,7,584
2,3,487
2,1,950
3,3,335
3,5,328
1,1,330
1,2,558
2,1,695
4,5,1015
4,1,538
6,1,419
1,3,210
1,7,100
2,7,105
2,1,161
5,6,238
3,3,192
1,3,202
2,3,227
3,6,197
3,1,168
2,3,205
1,3,278
1,7,485
1,3,195
4,3,267
4,1,577
4,1,686
2,5,472
3,3,608
1,7,562
2,1,561
2,3,322
3,5,412
2,1,25
4,1,45
2,1,50
5,1,102
3,1,50
6,1,40
5,1,40
5,1,80
5,1,42
5,1,68
3,1,90
3,7,55
6,1,10
7,1,15
5,1,10
6,1,10
1,6,45
1,6,40
6,1,15
8,1,15
8,1,25
7,1,40
3,1,20
2,1,30
5,1,100
6,1,113
7,1,214
6,1,164
1,1,64
6,1,63
3,7,74
7,1,113
2,1,50
5,1,60
4,1,80
1,1,100
1,1,102
2,1,218
4,1,74
2,1,122
7,1,163
1,1,258
2,1,55
1,1,102
2,1,327
5,1,77
1,6,85
4,1,56
1,1,55
5,1,53
2,1,73
2,1,247
5,1,223
2,1,107
8,1,78
4,1,80
8,1,78
2,1,94
3,1,97
4,1,105
4,7,62
6,7,164
2,1,62
3,1,57
3,1,85
6,1,70
3,1,174
2,1,200
3,1,178
6,1,115
5,1,90
5,1,110
1,1,48
6,1,68
1,1,155
1,1,445
5,1,68
3,1,68
5,1,144
2,1,151
5,1,118
2,1,162
3,1,103
6,1,175
4,1,117
3,7,234
5,5,258
6,1,820
3,7,269
5,1,510
5,1,457
12,2,277
7,1,262
9,1,828
4,7,303
4,1,785
2,1,260
1,1,110
1,1,140
1,1,120
1,1,110
3,1,217
2,1,92
3,1,115
3,1,103
3,1,120
1,1,73
3,1,110
6,1,218
5,1,795
1,1,167
3,3,175
3,1,266
1,1,110
5,1,123
5,1,220
5,1,288
4,1,308
3,6,94
7,1,202
2,1,234
1,1,247
7,1,167
3,1,338
2,1,120
6,1,47
4,1,352
3,7,160
4,1,222
6,1,196
3,7,90
4,1,110
7,1,267
4,1,87
5,1,120
5,1,272
6,1,457
2,1,126
6,1,392
5,1,156
1,1,135
1,1,253
4,1,330
3,1,565
2,1,162
4,6,77
1,1,146
7,7,301
2,1,455
2,1,366
3,1,536
1,7,58
5,2,345
5,1,600
4,2,380
3,1,325
5,1,485
6,1,315
9,1,430
2,7,147
2,1,178
4,2,180
5,7,280
5,1,590
1,1,149
3,1,126
3,1,449
1,1,70
3,1,294
1,1,72
4,1,260
4,1,525
2,1,258
1,1,258
1,1,62
1,1,120
2,1,154
2,1,132
1,1,158
2,1,180
4,6,155
3,1,123
6,1,225
4,1,587
1,1,598
1,1,577
1,1,350
3,1,582
