Zona;Sexo;Edad;Relacion;Estado Civil;Lugar 5 años;Pueblo;Seguro Salud;Embarazo;Leer y Escribir;Sum y Mul;Nivel edu;Matricula;Prox Nivel ed;Ocupacion
1;1;51;1;2;1;2;2;0;1;1;77;2;0;1
1;2;40;2;2;1;2;2;1;1;1;72;1;72;3
1;2;19;3;1;1;2;2;3;1;1;42;1;72;6
1;1;27;1;2;1;2;2;0;1;1;72;2;0;1
1;2;26;2;2;1;2;2;2;1;1;77;2;0;3
1;1;2;3;1;4;2;2;0;0;0;0;0;0;0
1;1;0;3;1;4;2;2;0;0;0;0;0;0;0
1;2;67;1;6;1;1;6;0;1;1;21;2;0;3
1;1;29;1;3;1;2;1;0;1;1;32;2;0;1
1;2;28;2;3;1;1;1;2;1;1;32;2;0;0
1;2;1;3;1;4;2;1;0;0;0;0;0;0;0
1;2;0;3;1;4;2;1;0;0;0;0;0;0;0
1;2;60;1;4;1;1;1;0;1;1;21;2;0;0
1;2;32;3;1;3;2;1;2;1;1;32;2;0;0
1;1;0;9;1;4;2;1;0;0;0;0;0;0;0
1;1;23;3;1;1;2;1;0;1;1;42;2;0;3
1;1;20;3;1;1;2;1;0;1;1;42;2;0;6
1;1;63;1;5;1;2;2;0;1;1;77;2;0;0
1;2;40;1;5;1;1;1;2;1;1;32;2;0;3
1;1;23;3;1;1;2;1;0;1;1;42;2;0;1
1;2;3;3;1;4;2;1;0;0;0;0;0;0;0
1;1;51;1;2;1;1;2;0;1;1;79;2;0;1
1;2;44;2;2;1;1;2;2;2;1;21;2;0;0
1;1;19;3;1;1;2;6;0;1;1;42;1;42;0
1;1;16;3;1;1;2;6;0;1;1;42;1;42;0
1;1;13;3;1;1;2;6;0;1;1;41;1;42;0
1;2;11;3;1;1;2;6;0;1;1;41;1;41;0
1;2;7;3;1;1;2;6;0;1;1;13;1;41;0
1;2;4;3;1;4;2;6;0;2;2;11;2;0;0
1;2;21;3;1;1;2;1;2;1;1;42;2;0;1
1;2;1;9;1;4;2;6;0;0;0;0;0;0;0
1;2;49;1;4;1;1;2;2;1;1;21;2;0;1
1;1;20;3;1;1;1;6;0;1;1;42;2;0;1
1;2;64;1;4;1;2;1;0;1;1;21;2;0;3
1;2;52;1;4;1;1;6;0;1;1;72;2;0;1
1;2;25;3;1;1;2;2;3;1;1;79;2;0;1
1;2;22;3;1;1;2;6;3;1;1;42;1;72;0
1;1;58;1;2;1;1;2;0;1;1;76;2;0;1
1;2;59;2;2;1;2;6;0;1;1;21;2;0;3
1;1;41;1;2;1;1;1;0;1;1;77;2;0;3
1;2;36;2;2;1;1;1;2;1;1;81;2;0;0
1;1;13;3;1;1;1;6;0;1;1;42;1;42;0
1;2;9;3;1;1;1;1;0;1;1;41;1;41;0
1;1;2;3;1;4;1;1;0;0;0;0;0;0;0
1;1;30;1;2;1;1;2;0;1;1;72;2;0;1
1;2;29;2;2;1;1;2;2;1;1;72;1;72;1
1;2;6;3;1;1;2;2;0;1;1;13;1;41;0
1;1;2;3;1;4;2;2;0;0;0;0;0;0;0
1;2;40;1;4;1;1;6;2;1;1;72;2;0;3
1;2;11;3;1;1;1;6;0;1;1;41;1;41;0
1;2;9;3;1;1;1;6;0;1;1;41;1;41;0
1;1;4;3;1;4;1;1;0;2;2;11;1;13;0
1;2;47;1;2;1;1;6;2;1;1;23;2;0;0
1;1;49;2;2;1;1;6;0;1;1;23;2;0;1
1;2;29;3;1;1;1;2;3;1;1;72;1;72;0
1;2;27;3;1;1;1;2;3;1;1;72;1;72;0
1;1;22;3;1;1;1;6;0;1;1;71;1;71;0
1;2;88;7;6;1;1;6;0;1;1;21;2;0;0
1;1;34;1;2;1;1;6;0;1;1;32;2;0;3
1;2;31;2;2;1;1;6;2;1;1;32;2;0;0
1;1;12;3;1;1;1;6;0;1;1;41;1;42;0
1;1;10;3;1;1;2;6;0;1;1;41;1;41;0
1;1;8;3;1;1;2;6;0;1;1;41;1;41;0
1;2;4;3;1;4;2;1;0;2;2;11;1;13;0
1;1;50;1;2;1;1;6;0;1;1;23;2;0;3
1;2;47;2;2;1;1;6;2;1;1;23;2;0;0
1;1;26;3;1;1;2;6;0;1;1;32;2;0;3
1;1;24;3;1;1;2;6;0;1;1;72;2;0;6
1;1;14;3;1;1;2;6;0;1;1;42;1;42;0
1;2;12;3;1;1;2;6;0;1;1;41;1;42;0
1;1;9;3;1;1;2;6;0;1;1;41;1;41;0
1;2;5;3;1;1;2;6;0;2;2;13;1;13;0
1;1;54;1;2;1;1;6;0;1;1;22;2;0;3
1;2;45;2;2;1;1;6;2;1;1;22;2;0;3
1;1;19;3;1;1;1;6;0;1;1;42;2;0;3
1;1;16;3;1;1;2;6;0;1;1;42;1;42;6
1;2;13;3;1;1;2;6;3;1;1;42;1;42;6
1;1;32;1;2;1;2;6;0;1;1;32;2;0;3
1;2;31;2;2;1;1;1;2;1;1;32;2;0;0
1;2;13;3;1;1;2;6;3;1;1;42;1;42;0
1;2;11;3;1;1;2;6;0;1;1;41;1;41;0
1;1;3;3;1;4;2;1;0;0;0;0;0;0;0
1;2;56;1;6;1;1;6;0;1;1;21;2;0;3
1;2;37;3;1;1;1;1;3;1;1;31;2;0;8
1;1;28;1;3;1;2;2;0;1;1;32;2;0;1
1;2;27;2;3;1;2;6;2;1;1;77;2;0;0
1;1;9;3;1;1;2;2;0;1;1;41;1;41;0
1;2;5;3;1;1;2;2;0;2;2;13;1;13;0
1;2;3;3;1;4;2;6;0;0;0;0;0;0;0
1;1;0;3;1;4;2;2;0;0;0;0;0;0;0
1;1;23;1;3;1;1;2;0;1;1;42;2;0;1
1;2;23;2;3;1;2;2;2;1;1;77;2;0;0
1;1;3;3;1;4;2;2;0;0;0;0;0;0;0
1;1;57;1;2;1;1;6;0;1;1;21;2;0;3
1;2;55;2;2;1;1;6;0;1;1;21;2;0;6
