Zona,Sexo,Edad,Relacion,Estado Civil,Lugar 5 años,Pueblo,Seguro Salud,Embarazo,Leer y Escribir,Sum y Mul,Nivel edu,Matricula,Prox Nivel ed,Ocupacion
Urbana,Hombre,51,1,Casado/a,1,2,2,0,si,si,77,no,0,1
Urbana,Mujer,40,2,Casado/a,1,2,2,1,si,si,72,si,72,3
Urbana,Mujer,19,3,Solero/a,1,2,2,3,si,si,42,si,72,6
Urbana,Hombre,27,1,Casado/a,1,2,2,0,si,si,72,no,0,1
Urbana,Mujer,26,2,Casado/a,1,2,2,2,si,si,77,no,0,3
Urbana,Hombre,2,3,Solero/a,4,2,2,0,no,no,0,no,0,0
Urbana,Hombre,0,3,Solero/a,4,2,2,0,no,no,0,no,0,0
Urbana,Mujer,67,1,Viudo/a,1,1,6,0,si,si,21,no,0,3
Urbana,Hombre,29,1,Concubino/a,1,2,1,0,si,si,32,no,0,1
Urbana,Mujer,28,2,Concubino/a,1,1,1,2,si,si,32,no,0,0
Urbana,Mujer,1,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Mujer,0,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Mujer,60,1,Separado/a,1,1,1,0,si,si,21,no,0,0
Urbana,Mujer,32,3,Solero/a,3,2,1,2,si,si,32,no,0,0
Urbana,Hombre,0,9,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,23,3,Solero/a,1,2,1,0,si,si,42,no,0,3
Urbana,Hombre,20,3,Solero/a,1,2,1,0,si,si,42,no,0,6
Urbana,Hombre,63,1,Divorciado/a,1,2,2,0,si,si,77,no,0,0
Urbana,Mujer,40,1,Divorciado/a,1,1,1,2,si,si,32,no,0,3
Urbana,Hombre,23,3,Solero/a,1,2,1,0,si,si,42,no,0,1
Urbana,Mujer,3,3,Solero/a,4,2,1,0,no,no,0,no,0,0
Urbana,Hombre,51,1,Casado/a,1,1,2,0,si,si,79,no,0,1
